('1635 MONTGOMERY AVE', 'New York')['Duplex', '40.848794', '-73.920395', '2016', '1993', '2000', '2640', '11/01/2005', 'USD', '385000', '527411', '11/14/2017', '13574', '564330', '564330', '0', '10453']
('662 E  236 ST', 'New York')['MultiFamily2To4', '40.895785', '-73.85756', '2016', '2002', '2404', '4557', '09/15/2003', 'USD', '530000', '661291', '11/14/2017', '3695', '694356', '694356', '0', '10466']
('334 E  54 ST', 'New York')['SingleFamily', '40.756629', '-73.965538', '2016', '1900', '1941', '5145', '09/15/2016', 'USD', '394000', '3161990', '11/14/2017', '118285', '4300306', '4300306', '0', '10022']
('748 READS LN', 'New York')['SingleFamily', '40.60375', '-73.74279', '2016', '1930', '5319', '2750', '09/17/2010', 'USD', '670000', '1216970', '11/14/2017', '41669', '1314328', '1314328', '0', '11691']
('2929 GRACE AVE', 'New York')['Duplex', '40.870915', '-73.83569', '2016', '2005', '2375', '2040', '03/14/2010', 'USD', '518289', '549502', '11/14/2017', '-20618', '587967', '587967', '0', '10469']
('2558 MORGAN AVE', 'New York')['Duplex', '40.864495', '-73.84504', '2016', '1915', '4000', '1120', '05/21/2004', 'USD', '499000', '486600', '11/14/2017', '10473', '525528', '525528', '0', '10469']
('2460 2 AVE', 'New York')['SingleFamily', '40.718436', '-73.545315', '2017', '2005', '5942', '2545', '02/23/2004', 'USD', '305000', '632019', '11/14/2017', '-3110', '663620', '663620', '0', '10035']
('83 LEONARD ST', 'New York')['SingleFamily', '41.955487', '-75.284788', '2016', '1900', '5662', '1600', '08/28/2015', 'USD', '5000', '18501', '11/14/2017', '-12293', '19426', '19426', '0', '10013']
('46 ST MARKS PL', 'New York')['Triplex', '40.682', '-73.98104', '2016', '1899', '2033', '3600', '12/27/1999', 'USD', '420000', '3110786', '11/14/2017', '-34928', '3266325', '3266325', '0', '10003']
('679 SEAVER AVE', 'New York')['SingleFamily', '40.57659', '-74.083618', '2016', '1992', '1920', '1600', '08/07/2003', 'USD', '260000', '483230', '11/14/2017', '-1380', '507391', '507391', '0', '10305']
('321 BCH 41 ST', 'New York')['SingleFamily', '40.594707', '-73.773132', '2016', '2006', '4642', '1332', '08/09/2006', 'USD', '335629', '356074', '11/14/2017', '-21022', '409485', '409485', '0', '11691']
('3451 ELY AVE', 'New York')['MultiFamily2To4', '40.879284', '-73.841', '2016', '1899', '2375', '2536', '02/06/2010', 'USD', '312500', '547765', '11/14/2017', '9834', '575153', '575153', '0', '10469']
('2743 PAULDING AVE', 'New York')['Triplex', '40.866845', '-73.858915', '2016', '1920', '2100', '3075', '07/02/1999', 'USD', '10000', '615006', '11/14/2017', '4572', '658056', '658056', '0', '10469']
('2 BANES CT', 'New York')['SingleFamily', '40.808015', '-73.85561', '2016', '2003', '1487', '2380', '05/11/2004', 'USD', '319000', '538692', '11/14/2017', '18761', '576400', '576400', '0', '10473']
('15 TANGLEWOOD DR', 'New York')['SingleFamily', '41.612089', '-73.924846', '2016', '1983', '19602', '1700', '07/03/2014', 'USD', '320000', '299006', '11/14/2017', '-690', '316946', '316946', '0', '10306']
('2301 NEWBOLD AVE', 'New York')['Duplex', '40.83399', '-73.84803', '2016', '1905', '1691', '1686', '11/04/2009', 'USD', '640000', '483317', '11/14/2017', '7212', '526816', '526816', '0', '10462']
('330 BCH 41 ST', 'New York')['SingleFamily', '40.594989', '-73.772666', '2016', '2005', '2381', '1350', '09/08/2006', 'USD', '300160', '317670', '11/14/2017', '-42625', '343084', '343084', '0', '11691']
('2 E  12 ST', 'New York')['Townhouse', '40.73423', '-73.99413', '2016', '1900', '2581', '7600', '06/03/2010', 'USD', '1710000', '14886997', '11/14/2017', '-549892', '17268917', '17268917', '0', '10003']
('3135 BRUCKNER BLVD', 'New York')['Duplex', '40.838105', '-73.82616', '2016', '1950', '2250', '2052', '03/14/2010', 'USD', '525500', '595821', '11/14/2017', '282', '637528', '637528', '0', '10461']
('1148 HAVEMEYER AVE', 'New York')['Triplex', '40.831535', '-73.847465', '2016', '2003', '2759', '3697', '03/28/2005', 'USD', '595000', '702989', '11/14/2017', '17681', '745168', '745168', '0', '10462']
('135 E  92 ST', 'New York')['Duplex', '40.661519', '-73.926755', '2016', '1930', '2500', '2680', '09/26/1997', 'USD', '186000', '774107', '11/14/2017', '58112', '843777', '843777', '0', '10128']
('1033 MANOR AVE', 'New York')['Quadruplex', '40.82507', '-73.87582', '2016', '1926', '2500', '3321', '01/28/2010', 'USD', '450000', '612506', '11/14/2017', '2401', '643131', '643131', '0', '10472']
('1633 EDISON AVE', 'New York')['Triplex', '40.84461', '-73.83308', '2016', '2002', '2755', '3300', '05/05/2003', 'USD', '640000', '747321', '11/14/2017', '19151', '784687', '784687', '0', '10461']
('248 CALHOUN AVE', 'New York')['SingleFamily', '40.816745', '-73.81783', '2016', '1930', '2500', '2420', '01/19/2005', 'USD', '386250', '506617', '11/14/2017', '1593', '531948', '531948', '0', '10465']
('1611 VAN BUREN ST', 'New York')['MultiFamily2To4', '40.84025', '-73.86946', '2016', '1925', '2500', '1408', '06/19/2015', 'USD', '427450', '459998', '11/14/2017', '8041', '492198', '492198', '0', '10460']
('2864 ROOSEVELT AVE', 'New York')['SingleFamily', '40.825115', '-73.822205', '2016', '1955', '2242', '1188', '09/19/2006', 'USD', '440000', '414816', '11/14/2017', '8607', '435557', '435557', '0', '10465']
('538 E  85 ST', 'New York')['SingleFamily', '40.642055', '-73.914725', '2016', '1925', '2500', '1056', '04/28/2000', 'USD', '118500', '384482', '11/14/2017', '10074', '411396', '411396', '0', '10028']
('227 REVERE AVE', 'New York')['SingleFamily', '40.81623', '-73.817215', '2016', '1955', '1800', '1764', '05/17/2000', 'USD', '185000', '456568', '11/14/2017', '4912', '479396', '479396', '0', '10465']
('1422 HARROD AVE', 'New York')['MultiFamily2To4', '40.834725', '-73.874585', '2016', '1920', '2613', '2788', '03/08/2012', 'USD', '440000', '578869', '11/14/2017', '7011', '625179', '625179', '0', '10472']
('780 JACKSON AVE', 'New York')['SingleFamily', '40.69942', '-73.391628', '2016', '2001', '10000', '2280', '09/12/2003', 'USD', '202808', '281587', '11/14/2017', '2469', '301298', '301298', '0', '10456']
('165 COVERT ST', 'New York')['MultiFamily2To4', '40.68952', '-73.90947', '2016', '1920', '1558', '2565', '02/09/2016', 'USD', '750000', '1028651', '11/14/2017', '-6546', '1080084', '1080084', '0', '11207']
('386 E  159 ST', 'New York')['MultiFamily2To4', '40.822874', '-73.915015', '2016', '1920', '4917', '3024', '03/10/1999', 'USD', '130000', '871646', '11/14/2017', '8288', '1019826', '1019826', '0', '10451']
('512 LAFAYETTE AVE', 'New York')['SingleFamily', '42.92064', '-78.87939', '2016', '1902', '4791', '2791', '08/30/2016', 'USD', '550000', '597014', '11/14/2017', '12124', '626865', '626865', '0', '11205']
('2222 CHATTERTON AVE', 'New York')['MultiFamily2To4', '40.82824', '-73.849105', '2016', '1930', '2575', '2800', '08/04/1999', 'USD', '225000', '544657', '11/14/2017', '10363', '571890', '571890', '0', '10472']
('4126 EDSON AVE', 'New York')['Duplex', '40.89363', '-73.84455', '2016', '1950', '2500', '1815', '03/15/2005', 'USD', '390000', '462729', '11/14/2017', '4569', '485865', '485865', '0', '10466']
('388 E  155 ST', 'New York')['MultiFamily2To4', '40.8201', '-73.91651', '2016', '1899', '2500', '3162', '09/20/2008', 'USD', '579000', '616754', '11/14/2017', '14722', '653759', '653759', '0', '10455']
('974 FOX ST', 'New York')['Triplex', '40.822115', '-73.89353', '2016', '1996', '2288', '3024', '09/04/1996', 'USD', '316500', '626923', '11/14/2017', '3653', '658269', '658269', '0', '10459']
('45 FAIRVIEW AVE', 'New York')['SingleFamily', '42.51025', '-73.610925', '2016', '1928', '23958', '918', '09/11/1997', 'USD', '70000', '131972', '11/14/2017', '-285', '138571', '138571', '0', '10040']
('1357 WASHINGTON AVE', 'New York')['SingleFamily', '40.742965', '-73.238929', '2016', '1958', '10018', '1518', '01/08/2008', 'USD', '340000', '319983', '11/14/2017', '7208', '335982', '335982', '0', '10456']
('68 STONE LN', 'New York')['SingleFamily', '40.710335', '-73.526367', '2017', '1948', '5998', '1343', '04/30/2002', 'USD', '190000', '406892', '11/14/2017', '-4433', '427237', '427237', '0', '10314']
('1217 HAVEMEYER AVE', 'New York')['Duplex', '40.83283', '-73.84839', '2016', '1920', '2420', '1944', '03/31/2016', 'USD', '1', '536310', '11/14/2017', '7924', '563125', '563125', '0', '10462']
('1069 GRANT AVE', 'New York')['Quadruplex', '40.8306', '-73.917035', '2016', '1929', '2800', '3496', '06/01/2007', 'USD', '567100', '686182', '11/14/2017', '18377', '761662', '761662', '0', '10456']
('2346 GLEASON AVE', 'New York')['Duplex', '40.83235', '-73.846184', '2016', '1925', '2575', '2900', '07/25/1995', 'USD', '149500', '563551', '11/14/2017', '14108', '591729', '591729', '0', '10462']
('17 CONGER ST', 'New York')['SingleFamily', '40.597675', '-74.065862', '2016', '2001', '2448', '2192', '06/10/2008', 'USD', '442000', '604680', '11/14/2017', '8457', '640961', '640961', '0', '10305']
('18 SEASIDE LN', 'New York')['SingleFamily', '40.59491', '-74.06398', '2016', '2002', '1081', '1620', '02/05/2003', 'USD', '258570', '488432', '11/14/2017', '1293', '512854', '512854', '0', '10305']
('2224 NORTON AVE', 'New York')['Duplex', '40.81464', '-73.84652', '2016', '2001', '2325', '1902', '12/07/2004', 'USD', '369000', '556379', '11/14/2017', '2733', '584198', '584198', '0', '10473']
('22 SHORE RD', 'New York')['SingleFamily', '41.18468', '-73.997888', '2016', '1930', '6534', '2150', '06/16/2003', 'USD', '42000', '416199', '11/14/2017', '-4506', '437009', '437009', '0', '10464']
('857 TINTON AVE', 'New York')['Duplex', '40.820735', '-73.904255', '2016', '2002', '2438', '2280', '06/05/2007', 'USD', '205820', '559016', '11/14/2017', '254', '586967', '586967', '0', '10456']
('1012 E  212 ST', 'New York')['Quadruplex', '40.875815', '-73.856775', '2016', '1928', '2810', '3448', '09/27/2007', 'USD', '250000', '713469', '11/14/2017', '37370', '777681', '777681', '0', '10469']
('829 3 AVE', 'New York')['Duplex', '42.784369', '-73.671835', '2016', '1890', '3920', '3426', '09/02/2004', 'USD', '111000', '120812', '11/14/2017', '7781', '134101', '134101', '0', '10022']
('1936 PAULDING AVE', 'New York')['Triplex', '40.851389', '-73.857435', '2016', '1925', '2500', '2280', '04/24/1996', 'USD', '225000', '624041', '11/14/2017', '-3784', '655243', '655243', '0', '10461']
('632 LAFAYETTE AVE', 'New York')['Duplex', '40.689815', '-73.94976', '2016', '2005', '1800', '2160', '09/02/2006', 'USD', '339969', '1309658', '11/14/2017', '-20568', '1388237', '1388237', '0', '11216']
('511 TINTON AVE', 'New York')['Triplex', '40.811755', '-73.90696', '2016', '1996', '2000', '2850', '12/19/1996', 'USD', '317000', '593107', '11/14/2017', '-4543', '664280', '664280', '0', '10455']
('326 BCH 41 ST', 'New York')['SingleFamily', '40.594909', '-73.772651', '2016', '2005', '2410', '1350', '09/19/2006', 'USD', '300160', '314704', '11/14/2017', '-46049', '336733', '336733', '0', '11691']
('2727 CRUGER AVE', 'New York')['Triplex', '40.8665', '-73.86658', '2016', '1925', '2500', '2814', '09/09/2008', 'USD', '505000', '588231', '11/14/2017', '3595', '629407', '629407', '0', '10467']
('831 PENFIELD ST', 'New York')['MultiFamily2To4', '40.904415', '-73.846454', '2016', '1941', '5000', '4920', '01/26/2008', 'USD', '665000', '659116', '11/14/2017', '-20165', '692072', '692072', '0', '10470']
('3031 ROBERTS AVE', 'New York')['Triplex', '40.845885', '-73.83024', '2016', '1965', '2500', '3498', '05/27/2004', 'USD', '475000', '742114', '11/14/2017', '10257', '779220', '779220', '0', '10461']
('4670 DOUGLAS AVE', 'New York')['SingleFamily', '40.894355', '-73.9147', '2016', '1960', '12100', '2966', '07/09/1996', 'USD', '740000', '1851632', '11/14/2017', '56379', '2073828', '2073828', '0', '10471']
('1301 NELSON AVE', 'New York')['Duplex', '40.840045', '-73.924129', '2016', '1997', '3471', '2090', '04/20/2007', 'USD', '499900', '475386', '11/14/2017', '1481', '513417', '513417', '0', '10452']
('2493 LORILLARD PL', 'New York')['Triplex', '40.85876', '-73.88746', '2016', '1998', '2453', '3969', '08/16/1995', 'USD', '100000', '678744', '11/14/2017', '5148', '719469', '719469', '0', '10458']
('2154 QUIMBY AVE', 'New York')['MultiFamily2To4', '40.825795', '-73.85069', '2016', '1901', '2574', '3000', '08/26/2015', 'USD', '559000', '630257', '11/14/2017', '6325', '674375', '674375', '0', '10473']
('309 E  92 ST', 'New York')['Quadruplex', '40.658225', '-73.923085', '2016', '1930', '2500', '2400', '06/28/2017', 'USD', '670000', '664786', '11/14/2017', '-9880', '698025', '698025', '0', '10128']
('729 THIERIOT AVE', 'New York')['MultiFamily2To4', '40.820285', '-73.86205', '2016', '1989', '2100', '1932', '07/10/2017', 'USD', '371274', '583439', '11/14/2017', '-2423', '612611', '612611', '0', '10473']
('364 BALCOM AVE', 'New York')['SingleFamily', '40.81792', '-73.823545', '2016', '1988', '2600', '2535', '08/22/2017', 'USD', '475000', '631324', '11/14/2017', '-8347', '669203', '669203', '0', '10465']
('142 MANHATTAN AVE', 'New York')['SingleFamily', '40.965685', '-73.824598', '2016', '1910', '4792', '2039', '07/12/1991', 'USD', '236000', '608893', '11/14/2017', '-2257', '639338', '639338', '0', '10025']
